analysis_period,gvkey,commodity,alpha,beta,p_value_beta,r_squared,spearman_corr,spearman_pval
Up to end_of_2010,23245,SN1 Comdty,0.03729283483185288,1.4756207230004777e-07,0.0021267636048280733,0.036683335071796885,0.34481194524690034,1.5722824807194362e-08
Up to end_of_2010,23249,SN1 Comdty,0.07364207958862343,1.3205089117859885e-06,1.4332237535838176e-23,0.32732601048964627,0.329846143364012,6.928029182107069e-08
Up to end_of_2010,23252,SN1 Comdty,4.106769595605659,-8.462523791766457e-06,9.153032419910757e-05,0.060195833612935234,-0.35225783483545015,1.0984003962159024e-08
Up to end_of_2010,23432,SN1 Comdty,19.31652670219251,-0.00011480351950940975,2.5432009217318127e-12,0.17642677708252807,-0.5587479862611268,2.443876905370496e-22
Up to end_of_2010,23500,SN1 Comdty,0.11859470007723585,-1.4670264743341795e-06,4.365355859381909e-18,0.26095306101024285,-0.6229346032599199,2.252309324210394e-28
Up to end_of_2010,23555,SN1 Comdty,1.5361620236123947,-6.205029518235475e-06,0.020894673296387826,0.020746511905960552,-0.3118440819356321,3.3487357047323965e-07
Up to end_of_2010,23809,SN1 Comdty,11.520042185041113,-0.00014567908597926078,6.205947649751704e-17,0.24521011302502738,-0.6590778401424329,1.1782328246717041e-32
Up to end_of_2010,23812,SN1 Comdty,3.419393959508812,-6.018671535284966e-05,7.904351602063424e-42,0.5459715372869258,-0.8479846024072604,3.539563727836418e-66
Up to end_of_2010,23843,SN1 Comdty,0.6357725254074238,-2.9001331942836378e-06,0.032096035376466506,0.04601737167122644,-0.4291440641351832,8.387678431739975e-06
Up to end_of_2010,23977,SN1 Comdty,2.045785563071028,-1.8756095179223784e-05,1.924137078995876e-43,0.5362957215466408,-0.6196495304673993,5.18021880977592e-28
Up to end_of_2010,23978,SN1 Comdty,4.293284809342333,-8.155619140363668e-05,5.397144957040089e-82,0.7683255664528444,-0.8368692947129189,6.773026752035501e-68
Up to end_of_2010,23996,SN1 Comdty,0.04682955298362357,1.5622504318939563e-05,0.002240174651354824,0.9237167110276558,0.942857142857143,0.0048046647230320545
