Commodity,Date,Open
CL1 Comdty,09/06/2011,100.83
CL1 Comdty,10/06/2011,101.84
CL1 Comdty,13/06/2011,98.77
CL1 Comdty,14/06/2011,97.09
CL1 Comdty,15/06/2011,99.68
CL1 Comdty,16/06/2011,95.29
CL1 Comdty,17/06/2011,95.1
CL1 Comdty,20/06/2011,92.8
CL1 Comdty,21/06/2011,93.49
CL1 Comdty,22/06/2011,93.76
CL1 Comdty,23/06/2011,94.4
CL1 Comdty,24/06/2011,92.29
CL1 Comdty,27/06/2011,91.16
CL1 Comdty,28/06/2011,90.71
CL1 Comdty,29/06/2011,93.37
CL1 Comdty,30/06/2011,95.08
CL1 Comdty,01/07/2011,95.12
CL1 Comdty,05/07/2011,94.97
CL1 Comdty,06/07/2011,97
CL1 Comdty,07/07/2011,97.04
CL1 Comdty,08/07/2011,98.79
CL1 Comdty,11/07/2011,96.1
CL1 Comdty,12/07/2011,95.09
CL1 Comdty,13/07/2011,96.72
CL1 Comdty,14/07/2011,97.59
CL1 Comdty,15/07/2011,96.03
CL1 Comdty,18/07/2011,97.37
CL1 Comdty,19/07/2011,96.16
CL1 Comdty,20/07/2011,98.11
CL1 Comdty,21/07/2011,98.36
CL1 Comdty,22/07/2011,99.2
CL1 Comdty,25/07/2011,99.76
CL1 Comdty,26/07/2011,99.15
CL1 Comdty,27/07/2011,99.18
CL1 Comdty,28/07/2011,97.27
CL1 Comdty,29/07/2011,97.16
CL1 Comdty,01/08/2011,96.2
CL1 Comdty,02/08/2011,95.02
CL1 Comdty,03/08/2011,93.15
CL1 Comdty,04/08/2011,91.94
CL1 Comdty,05/08/2011,86.5
CL1 Comdty,08/08/2011,85.71
CL1 Comdty,09/08/2011,81.1
CL1 Comdty,10/08/2011,81.9
CL1 Comdty,11/08/2011,81.95
CL1 Comdty,12/08/2011,85.55
CL1 Comdty,15/08/2011,85.59
CL1 Comdty,16/08/2011,87.68
CL1 Comdty,17/08/2011,87.1
CL1 Comdty,18/08/2011,87.41
CL1 Comdty,19/08/2011,81.3
CL1 Comdty,22/08/2011,82.42
CL1 Comdty,23/08/2011,84.45
CL1 Comdty,24/08/2011,85.67
CL1 Comdty,25/08/2011,85.17
CL1 Comdty,26/08/2011,85.09
CL1 Comdty,29/08/2011,85.33
CL1 Comdty,30/08/2011,87.51
CL1 Comdty,31/08/2011,88.79
CL1 Comdty,01/09/2011,88.73
CL1 Comdty,02/09/2011,88.78
CL1 Comdty,06/09/2011,86.46
CL1 Comdty,07/09/2011,86.5
CL1 Comdty,08/09/2011,90.11
CL1 Comdty,09/09/2011,88.77
CL1 Comdty,12/09/2011,86.7
CL1 Comdty,13/09/2011,88.95
CL1 Comdty,14/09/2011,89.88
CL1 Comdty,15/09/2011,88.6
CL1 Comdty,16/09/2011,89.11
CL1 Comdty,19/09/2011,87.75
CL1 Comdty,20/09/2011,85.84
CL1 Comdty,21/09/2011,86.51
CL1 Comdty,22/09/2011,84.81
CL1 Comdty,23/09/2011,80.4
CL1 Comdty,26/09/2011,79.64
CL1 Comdty,27/09/2011,81.48
CL1 Comdty,28/09/2011,83.76
CL1 Comdty,29/09/2011,80.67
CL1 Comdty,30/09/2011,83.07
CL1 Comdty,03/10/2011,78.92
CL1 Comdty,04/10/2011,76.4
CL1 Comdty,05/10/2011,78.25
CL1 Comdty,06/10/2011,79.71
CL1 Comdty,07/10/2011,82.57
CL1 Comdty,10/10/2011,82.75
CL1 Comdty,11/10/2011,85.7
CL1 Comdty,12/10/2011,85.2
CL1 Comdty,13/10/2011,84.93
CL1 Comdty,14/10/2011,84.47
CL1 Comdty,17/10/2011,87.48
CL1 Comdty,18/10/2011,86.2
CL1 Comdty,19/10/2011,88.26
CL1 Comdty,20/10/2011,86.1
CL1 Comdty,21/10/2011,86.5
CL1 Comdty,24/10/2011,87.05
CL1 Comdty,25/10/2011,91.69
CL1 Comdty,26/10/2011,92.59
CL1 Comdty,27/10/2011,90.98
CL1 Comdty,28/10/2011,93.93
CL1 Comdty,31/10/2011,93.53
CL1 Comdty,01/11/2011,92.58
CL1 Comdty,02/11/2011,91.6
CL1 Comdty,03/11/2011,92.99
CL1 Comdty,04/11/2011,94.24
CL1 Comdty,07/11/2011,94.4
CL1 Comdty,08/11/2011,95.87
CL1 Comdty,09/11/2011,96.81
CL1 Comdty,10/11/2011,95.75
CL1 Comdty,11/11/2011,97.51
CL1 Comdty,14/11/2011,99.3
CL1 Comdty,15/11/2011,98.04
CL1 Comdty,16/11/2011,99.32
CL1 Comdty,17/11/2011,101.76
CL1 Comdty,18/11/2011,98.61
CL1 Comdty,21/11/2011,97.54
CL1 Comdty,22/11/2011,97.2
CL1 Comdty,23/11/2011,97.79
CL1 Comdty,25/11/2011,97
CL1 Comdty,28/11/2011,97.5
CL1 Comdty,29/11/2011,97.75
CL1 Comdty,30/11/2011,99.48
CL1 Comdty,01/12/2011,100.51
CL1 Comdty,02/12/2011,100
CL1 Comdty,05/12/2011,101.23
CL1 Comdty,06/12/2011,100.45
